term,normalized_term,category
"Trauma, Trigeminal Nerve",trauma trigeminal nerve,disease
Juvenile-Onset Neuroaxonal Dystrophies,juvenile onset neuroaxonal dystrophy,disease
Type III Mucolipidoses,type iii,disease
"Skull Fractures, Linear",skull fracture linear,disease
HSAN 1,,disease
"Hallucination, Gustatory",hallucination gustatory,disease
Pseudobulbar Dysarthria,dysarthria,disease
von Recklinghausen's Disease,von disease,disease
Hearing Disorder,hearing disorder,disease
Voice Disorders,voice disorder,disease
"Nerve Injuries, Cranial",nerve injuries cranial,disease
"Mental Retardation, X-Linked, Associated With Marxq28",mental retardation x linked associated,disease
"Myositides, Proliferative",proliferation,disease
Spastic Dysarthrias,spasticity,disease
Basilar-Type Migraine,basilar type migraine,disease
"Epilepsies, Cryptogenic Tonic-Clonic",epilepsies cryptogenic tonic clonic,disease
"Sympathetic Dystrophy, Cervical",sympathetic dystrophy cervical,disease
"Paralyses, Pupillary Sector",pupillary sector,disease
"Pineocytoma-Pineoblastoma, Mixed",mixed,disease
"Headaches, Chronic",headache chronic,disease
"Paralyses, Vocal Cord",vocal cord,disease
Post-Ictal Aphasias,post ictal aphasia,disease
"Infarction, Cerebral, Right Hemisphere",infarction cerebral right hemisphere,disease
Gestural Tics,gestural tics,disease
"Somatotrophinoma, Familial",familiar,disease
"Malformations, Brain Vascular",malformation brain vascular,disease
Miosis,,disease
Pinprick Sensation Diminished,pinprick sensation diminished,disease
"Neoplasms, Pontine",neoplasm pontine,disease
Fibrinoid Degeneration of Astrocytes,degeneration astrocytes,disease
X-Linked Periventricular Heterotopia,x linked periventricular heterotypic,disease
Middle Cerebral Artery Aneurysm,middle cerebral artery aneurysm,disease
Sciatic Nerve Lesion,sciatic nerve lesion,disease
Intermittent Tremors,intermittent tremor,disease
"Familial Amyloid Neuropathy, Finnish Type",familiar amyloid neuropathy finnish type,disease
Post-Traumatic Tic Disorder,post traumatic tic disorder,disease
"Syndrome, Stiff-Trunk",syndrome stiff trunk,disease
"Seizures, Somatosensory",seizure somatosensory,disease
"Developmental Defects, Neural Tube",development defect neural tube,disease
Pressure Pneumocephalus,pressure,disease
"Palsy, Sixth Nerve",palsy sixth nerve,disease
Tenth Nerve Trauma,tenth nerve trauma,disease
"Palsy, Crutch",palsy,disease
"Polio, Bulbar",polio bulbar,disease
Infant Botulisms,infant,disease
"Dystonia, Hypnogenic Paroxysmal",dystonia paroxysmal,disease
Smooth Pursuit Deficiency,smooth pursuit deficit,disease
Cri-du-Chat Syndrome,cri du chat syndrome,disease
Atonic Seizures,atonic seizure,disease
"Stenosis, Vertebral Artery",stenosis vertebrate artery,disease
Kearns-Sayre Mitochondrial Cytopathy,mitochondrial,disease
Menzel Type OPCA,menzel type,disease
"Vertigos, Brain Stem",brainstem,disease
Emery-Dreifuss Muscular Dystrophy 2,emery muscular dystrophy,disease
"Epilepsy, Myoclonic Astatic",epilepsy myoclonic,disease
HSAN Type III,type iii,disease
"Dystrophicas, Myotonia",,disease
"Neuropathy, Hereditary and Autonomic, Type III",neuropathy hereditary autonomic type iii,disease
"Tick-Borne Encephalitis, European",tick borne encephalitis european,disease
Isaac Syndrome,isaac syndrome,disease
"Traumas, Laryngeal Nerve",trauma laryngeal nerve,disease
"Leukodystrophy, Globoid Cell",leukodystrophy cell,disease
"Ceroid Lipofuscinosis, Neuronal",ceroid neuronal,disease
"Diencephalic Syndrome, Pituitary",diencephalon syndrome pituitary,disease
Sleep-Related Dystonia,sleep related dystonia,disease
Early Awakening,early awakening,disease
"Meningiomas, Clear Cell",meningioma clear cell,disease
Neurofibromatosis IIs,neurofibrillary iis,disease
"Epilepsies, Rhinencephalic",epilepsies,disease
"Congenital Myasthenic Syndromes, Presynaptic",congenital syndrome presynaptic,disease
"Nerve Compression Syndrome, Thoracic Outlet",nerve compression syndrome thoracic outlet,disease
Sciatic Neuritides,sciatic,disease
"Leg Cramps, Nocturnal",leg cramp nocturnal,disease
"Atrophies, Progressive Hemifacial",atrophic progressive hemifacial,disease
"Seizures, Auditory",seizure auditory,disease
Hydranencephaly with Proliferative Vasculopathy,proliferation vasculopathy,disease
"Sleeper Syndromes, Short",syndrome short,disease
Visual Agnosia,visual agnosia,disease
Confusion,confusion,disease
"Ischemias, Optic Nerve",optic nerve,disease
Cerebral Anoxia-Ischemia,cerebral anoxia ischemic,disease
"Delirium, Emergence",delirium emergence,disease
Sick Headaches,sick headache,disease
"Nerve Lesion, Sciatic",nerve lesion sciatic,disease
Lambert Eaton Myasthenic Syndrome,lambert eaton syndrome,disease
Traumatic Intracranial Hemorrhages,traumatic intracranial hemorrhage,disease
"Syndrome, Subwakefullness",syndrome,disease
Primary Progressive Aphasias,primary progressive aphasia,disease
"Hypotension, Post-Exercise",hypotension post exercise,disease
Hyporeflexia,,disease
"Meningioma, Papillary",meningioma papillary,disease
Frontal Gait,frontal gait,disease
Proprioceptive Disorder,proprioceptive disorder,disease
"Neoplasms, Hypothalamo Neurohypophysial Region",neoplasm hypothalamus region,disease
"Nerve Contusion, Optic",nerve contusion optic,disease
"Accessory Neuropathy, Traumatic",accessory neuropathy traumatic,disease
"Disease, Becker",disease becker,disease
Spontaneous Subarachnoid Hemorrhage,spontaneous subarachnoid hemorrhage,disease
"Leukodystrophies, Globoid Cell",cell,disease
"Atrophy, Neurogenic Muscular",atrophy neurogenesis muscular,disease
"Aphasia, Post-Traumatic",aphasia post traumatic,disease
Cerebellopontine Angle Tumors,cerebellopontine angle tumor,disease
"Tumor, Malignant, Optic Nerve",tumor malignant optic nerve,disease
Pyomyositis,,disease
"Paralyses, Normokalemic Periodic",period,disease
Sensory Seizure,sensory seizure,disease
Creutzfeldt-Jakob Syndrome,creutzfeldt jakob syndrome,disease
Carotid Artery-Cavernous Sinus Fistula,carotid artery cavernous sinus fistula,disease
"Tremor, Continuous",tremor continuous,disease
Alcohol Induced Peripheral Neuropathy,alcohol induced peripheral neuropathy,disease
Traumatic Cerebral Intraparenchymal Hematoma,traumatic cerebral intraparietal hematoma,disease
Juvenile Batten Disease,juvenile disease,disease
Myotubular Myopathy,myopathy,disease
HMSN II,ii,disease
"Neoplasm, Hypothalamo-Neurohypophysial Region",neoplasm hypothalamus region,disease
Roussy-Levy Hereditary Areflexic Dystasia,levy hereditary,disease
"Neuralgia, Facial",neuralgia facial,disease
Vein of Galen Malformations,vein galen malformation,disease
Rett Disorder,rett disorder,disease
"Fucosidosis, Infantile",infantile,disease
"Frontotemporal Dementia, GRN-Related",frontotemporal dementia grn related,disease
Peripheral Nervous System Disease,peripheral nervous system disease,disease
"Leukoencephalopathies, Metachromatic",metachromatic,disease
Miller-Dieker Syndrome,miller syndrome,disease
Traumatic Eighth-Nerve Palsies,traumatic eighth nerve palsies,disease
"Poliomyelitis, Medullary Involvement",poliomyelitis medulla involvement,disease
"Extradural Hemorrhage, Cranial",extradural hemorrhage cranial,disease
"Infratentorial Neoplasm, Benign",infratentorial neoplasm benign,disease
"Muscular Atrophy, Neurogenic",muscular atrophy neurogenesis,disease
"Muscular Dystrophy, Emery-Dreifuss, Autosomal Dominant",muscular dystrophy emery autosomal dominant,disease
"Tumors, Cranial Nerve, Benign",tumor cranial nerve benign,disease
Constant Vertigo,constant vertigo,disease
Nonorganic Insomnia,insomnia,disease
"Neuropathies, Multiple Cranial",neuropathy multiple cranial,disease
"Positional Nystagmus, Non-Fatigable",position nystagmus non,disease
Parasomnias,,disease
Glossopharyngeal Nerve Trauma,glossopharyngeal nerve trauma,disease
Traumatic Cerebrospinal Fluid Otorrhea,traumatic cerebrospinal fluid,disease
"Muscular Dystrophies, Ocular",muscular dystrophy ocular,disease
Motor Ataxia,motor ataxia,disease
"Muscular Atrophy, Spinal, Infantile Chronic Form",muscular atrophy spinal infantile chronic form,disease
Pyruvate Dehydrogenase Complex Deficiency Disease,pyruvate dehydrogenase complex deficit disease,disease
"Cerebral, Right Hemisphere, Infarction",cerebral right hemisphere infarction,disease
Progressive Facial Hemiatrophy,progressive facial,disease
Articulatory Apraxias,articulation,disease
"Injury, Cranial Nerve VI",injury cranial nerve vi,disease
"Sclerosis, Tuberose",sclerosis,disease
"Neuropathy, Traumatic Facial",neuropathy traumatic facial,disease
X ALD (X Linked Adrenoleukodystrophy),x ald x linked,disease
"First Nerve Palsy, Traumatic",first nerve palsy traumatic,disease
"Lissencephaly, Miller Dieker",lissencephaly miller,disease
Idiopathic Olivopontocerebellar Atrophies,idiopathic atrophic,disease
Neuroblastoma,neuroblastoma,disease
"Prosopagnosia, Acquired",prosopagnosia acquired,disease
Age Related Memory Disorders,age related memory disorder,disease
HSAN3,,disease
"Syndrome, von Frey's",syndrome von frey,disease
Acute Inflammatory Demyelinating Polyradiculoneuropathy,acute inflammatory demyelination,disease
Cross Eye,cross eye,disease
"Familial Dystonias, Idiopathic",familiar dystonia idiopathic,disease
Acute Idiopathic Facial Neuropathy,acute idiopathic facial neuropathy,disease
"Sensory Seizures, Focal",sensory seizures focal,disease
Neurotoxic Disorder,neurotoxic disorder,disease
Cerebral Abscesses,cerebral abscess,disease
"Agnosias, Somatosensory",somatosensory,disease
"Neuropathy, Trigeminal",neuropathy trigeminal,disease
Herpes Zoster Auricularis,herpes zoster,disease
"Hearing Loss, Noise Induced",hearing loss noise induced,disease
Vogt Koyanagi Harada Disease,vogt harada disease,disease
"Vestibulopathy, Acute Peripheral",acute peripheral,disease
"Torticollis, Intermittent",torticollis intermittent,disease
X-Linked Retinoschisis,x linked,disease
"Degenerations, Nigrospinodentatal",degeneration,disease
X ALD,x ald,disease
Hypersomnia with Periodic Respiration,hypersomnia period respiratory,disease
"Analgesia, Congenital",analgesic congenital,disease
"Tumors, Spinal Cord",tumor spinal cord,disease
Neuroleptic Malignant Syndromes,neuroleptic malignant syndrome,disease
Physical Anhedonias,physical,disease
Bilateral Hearing Loss,bilateral hearing loss,disease
"Multiple Sclerosis, Secondary Progressive",multiple sclerosis secondary progressive,disease
"Hereditary-Degenerative Disorders, Nervous System",hereditary degeneration disorder nervous system,disease
"Amnesia, Pre-Ictal",amnesia pre ictal,disease
Guyon Syndrome,syndrome,disease
Bjerrum Scotoma,scotoma,disease
"Mycotic Aneurysm, Intracranial",aneurysm intracranial,disease
Writer Cramp,writer cramp,disease
Flaccid Muscle Tone,flaccid muscle tone,disease
"Neurofibromatosis, Type 1",neurofibromatosis type 1,disease
"Refsum Diseases, Classic",disease classical,disease
"Cerebellar Neoplasms, Primary",cerebellum neoplasm primary,disease
Pachymeningitides,,disease
"Inversion of Circadian Rhythm, Psychogenic",inversion circadian rhythm psychogenic,disease
"Pneumorrhachis, Subarachnoid",subarachnoid,disease
Nodding Spasms,nodding spasm,disease
"Sensory Disorder, Vagus Nerve",sensory disorder vagus nerve,disease
"Myositides, Juvenile",juvenile,disease
"Heredodegenerative Disorders, Nervous System",disorder nervous system,disease
"Otorrhea, Post-Traumatic, Cerebrospinal Fluid",post traumatic cerebrospinal fluid,disease
Cervical Sympathetic Dystrophy,cervical sympathetic dystrophy,disease
Pituitary Adenomas,pituitary adenoma,disease
Acute Strokes,acute stroke,disease
"Contusion, Glossopharyngeal Nerve",contusion glossopharyngeal nerve,disease
"Dystonia, Idiopathic Familial",dystonia idiopathic familiar,disease
Malignant Optic Nerve Sheath Neoplasms,malignant optic nerve sheath neoplasm,disease
POMT1-Related Muscle-Eye-Brain Diseases,related muscle eye brain disease,disease
Charcot-Marie-Tooth Syndrome,charcot marie tooth syndrome,disease
"Syndrome, Crow-Fukase",syndrome crow,disease
Nerve Sheath Neoplasms,nerve sheath neoplasm,disease
Oligodendroglioma,oligodendroglioma,disease
ASP Deficiency,asp deficit,disease
"Diplopia, Monocular",diplopia monocular,disease
"Nonfluent Aphasias, Progressive",nonfluent aphasia progressive,disease
"Kufs Disease, Autosomal Dominant",disease autosomal dominant,disease
Vision Disorder,vision disorder,disease
Neurologic Gait Disorder,neurological gait disorder,disease
Generalized Nonconvulsive Epilepsy,general epilepsy,disease
Kufs Disease Autosomal Recessive,disease autosomal recessive,disease
Alexias,,disease
Millard Gublar Syndrome,syndrome,disease
"Nerve Contusion, Vestibulocochlear",nerve contusion,disease
FTLD-TDP,ftld tdp,disease
Verbal Apraxias,verbal,disease
"Tumor, Hypothalamic",tumor hypothalamus,disease
"Vertigo, Peripheral",vertigo peripheral,disease
Neuroretinoangiomatosis,,disease
"Insomnia, Psychophysiological",insomnia psychophysiological,disease
Mosaic Trisomy 13 Syndrome,mosaic trisomy syndrome,disease
"Cerebral Hemorrhage, Hereditary, With Amyloidosis",cerebral hemorrhage hereditary amyloid,disease
"Trigeminal Neuropathies, Traumatic",trigeminal neuropathy traumatic,disease
Alcohol Withdrawal Associated Autonomic Hyperactivity,alcohol withdrawal associated autonomic hyperactivity,disease
"Disproportion, Congenital Fiber-Type",disproportion congenital fiber type,disease
"Head Injuries, Penetrating, Missile",head injuries penetrating,disease
Subwakefullness Syndromes,syndrome,disease
"Injuries, Spinal Cord",injuries spinal cord,disease
"Tonic-Clonic Epilepsy, Symptomatic",tonic clonic epilepsy symptom,disease
Sinus Pericranii,sinus,disease
Long Sleeper Syndrome,long syndrome,disease
"Nerve Palsies, 6th",nerve palsies,disease
Familial Dystonias,familiar dystonia,disease
"Hyperglycinemia, Nonketotic, Type I",type,disease
Posterior Fossa Hemorrhages,posterior fossa hemorrhage,disease
"Bruxisms, Nocturnal",nocturnal,disease
Santavuori-Haltia Disease,disease,disease
Gestural Tic,gestural tic,disease
Pre-Ictal Amnesia,pre ictal amnesia,disease
"Diminisheds, Pinprick Sensation",pinprick sensation,disease
"Hemiplegias, Transient",transient,disease
"Epilepsy, Tonic-Clonic, Cryptogenic",epilepsy tonic clonic cryptogenic,disease
Eyelid Myoclonus,eyelid myoclonus,disease
Alcohol Withdrawal-Induced Seizures,alcohol withdrawal induced seizure,disease
"Esotropias, Secondary",secondary,disease
HSAN Type II,type ii,disease
Intracranial Arachnoid Cysts,intracranial arachnoid cyst,disease
"Autonomic Dysfunctions, Paraneoplastic",autonomic dysfunction paraneoplastic,disease
Congenital Fiber Type Disproportion,congenital fiber type disproportion,disease
"Holoprosencephalies, Semilobar",,disease
"Artery Stenoses, Basilar",artery stenosis basilar,disease
"Artery Insufficiencies, Vertebral",artery insufficient vertebrate,disease
Head Injuries,head injuries,disease
Wilson Disease,wilson disease,disease
Auditory Perceptual Disorders,auditory perceptual disorder,disease
X-Linked Lissencephalies,x linked,disease
Thomsen Disease,thomsen disease,disease
Post-Concussive Syndromes,post concussion syndrome,disease
Hypoacuses,,disease
Alpha Sarcoglycanopathies,alpha,disease
Downs Syndrome,downs syndrome,disease
Meningofacial Angiomatosis-Cerebral Calcification Syndrome,cerebral calcification syndrome,disease
"Focal Epilepsy, Temporal-Central",focal epilepsy temporal central,disease
"Brain Disorders, Metabolic, Acquired",brain disorder metabolic acquired,disease
Transitional Meningiomas,transition meningioma,disease
"Neuritis, Vestibular Nerve",neuritis vestibular nerve,disease
Sepsis-Associated Delirium,sepsis associated delirium,disease
"Neoplasm, Pituitary",neoplasm pituitary,disease
GRN-Related Frontotemporal Dementias,grn related frontotemporal dementia,disease
"Huntington Disease, Late Onset",huntington disease late onset,disease
Partial Epilepsy,partial epilepsy,disease
